date_stamp,iso3166_1,subdivision_code,us_state_fips,us_state_postal,cnt_confirmed,cnt_deaths,cnt_recovered
2022-12-31,US,01,01,AL,1568934,20737,0
2022-12-31,US,02,02,AK,301432,1455,0
2022-12-31,US,04,04,AZ,2378334,32182,0
2022-12-31,US,05,05,AR,985493,12695,0
2022-12-31,US,06,06,CA,11829499,98637,0
2022-12-31,US,08,08,CO,1734782,13882,0
2022-12-31,US,09,09,CT,948943,11781,0
2022-12-31,US,10,10,DE,321888,3206,0
2022-12-31,US,11,11,DC,173386,1411,0
2022-12-31,US,12,12,FL,7338503,83906,0
2022-12-31,US,13,13,GA,2985193,41417,0
2022-12-31,US,15,15,HI,372198,1761,0
2022-12-31,US,16,16,ID,511601,5316,0
2022-12-31,US,17,17,IL,3969832,40678,0
2022-12-31,US,18,18,IN,1987017,25303,0
2022-12-31,US,19,19,IA,886411,10424,0
2022-12-31,US,20,20,KS,917456,9717,0
2022-12-31,US,21,21,KY,1662581,17671,0
2022-12-31,US,22,22,LA,1514113,18370,0
2022-12-31,US,23,23,ME,306647,2790,0
2022-12-31,US,24,24,MD,1318234,15967,0
2022-12-31,US,25,25,MA,2154886,22940,0
2022-12-31,US,26,26,MI,2988654,40767,0
2022-12-31,US,27,27,MN,1736893,14320,0
2022-12-31,US,28,28,MS,955145,13097,0
2022-12-31,US,29,29,MO,1732724,22246,0
2022-12-31,US,30,30,MT,323055,3621,0
2022-12-31,US,31,31,NE,555114,4685,0
2022-12-31,US,32,32,NV,876118,11751,0
2022-12-31,US,33,33,NH,367547,2856,0
2022-12-31,US,34,34,NJ,2926834,35510,0
2022-12-31,US,35,35,NM,659056,8814,0
2022-12-31,US,36,36,NY,6574004,75139,0
2022-12-31,US,37,37,NC,3316814,27629,0
2022-12-31,US,38,38,ND,280583,2427,0
2022-12-31,US,39,39,OH,3307568,40928,0
2022-12-31,US,40,40,OK,1250013,17412,0
2022-12-31,US,41,41,OR,939303,8962,0
2022-12-31,US,42,42,PA,3416142,48892,0
2022-12-31,US,44,44,RI,443645,3770,0
2022-12-31,US,45,45,SC,1770059,18834,0
2022-12-31,US,46,46,SD,271856,3118,0
2022-12-31,US,47,47,TN,2428930,28557,0
2022-12-31,US,48,48,TX,8227889,91818,0
2022-12-31,US,49,49,UT,1074828,5187,0
2022-12-31,US,50,50,VT,148393,791,0
2022-12-31,US,51,51,VA,2199302,22670,0
2022-12-31,US,53,53,WA,1883676,15038,0
2022-12-31,US,54,54,WV,624721,7672,0
2022-12-31,US,55,55,WI,1960878,15802,0
2022-12-31,US,56,56,WY,182847,1958,0
2022-12-31,US,60,60,AS,8266,34,0
2022-12-31,US,66,66,GU,60020,411,0
2022-12-31,US,69,69,MP,13319,41,0
2022-12-31,US,72,72,PR,1054239,5541,0
2022-12-31,US,78,78,VI,23781,127,0
2022-12-31,US,DP,,,49,0,0
2022-12-31,US,GP,,,103,3,0
2022-12-31,US,RC,,,0,0,0
